question_id,baseline_tiou,final_tiou,delta_tiou,candidate_oracle,candidates,error_bucket
sample_4_yes_q03,0.29876543209876527,0.42207792207792216,0.12331248997915689,0.44588744588744583,2,too_narrow
sample_4_yes_q07,0.25726141078838216,0.3073394495412852,0.050078038752903065,0.25726141078838216,1,too_wide
sample_4_yes_q06,0.0,0.0,0.0,0.0,0,false_negative
sample_4_yes_q05,0.8423236514522826,0.9541284403669734,0.11180478891469081,0.8423236514522826,1,strong
sample_4_yes_q02,0.6042553191489375,0.6854460093896709,0.08119069024073344,0.8452380952380963,2,boundary_shift_or_partial
sample_4_yes_q01,0.5766666666666668,0.5350000000000001,-0.04166666666666663,0.5766666666666668,2,too_narrow
sample_4_yes_q04,0.7126436781609213,0.8481012658227857,0.13545758766186433,0.7126436781609213,1,boundary_shift_or_partial
sample_5_yes_q01,0.9158576051779931,0.47743055555555514,-0.43842704962243795,0.9158576051779931,2,too_narrow
sample_5_yes_q05,0.5489361702127656,0.6028037383177565,0.053867568104990826,0.6128266033254152,2,too_wide
sample_5_yes_q02,0.9270833333333354,0.7757352941176472,-0.15134803921568818,0.9270833333333354,2,boundary_shift_or_partial
sample_5_yes_q06,0.6445497630331758,0.7382198952879588,0.09367013225478305,0.8717948717948721,2,boundary_shift_or_partial
sample_5_yes_q03,0.21574803149606253,0.8482972136222884,0.6325491821262259,0.7471910112359537,2,boundary_shift_or_partial
sample_5_yes_q04,0.45308310991956996,0.9082840236686383,0.4552009137490683,0.9532163742690108,2,strong
sample_6_yes_q03,0.9038461538461559,0.9494949494949488,0.045648795648792984,0.9038461538461559,1,strong
sample_6_yes_q04,0.6784660766961657,0.6253687315634203,-0.05309734513274533,0.6784660766961657,1,too_narrow
sample_6_yes_q05,0.0,0.0,0.0,0.0,3,nonoverlap_review_occurrence
sample_6_yes_q07,0.7750000000000006,0.853333333333334,0.07833333333333348,0.7750000000000006,2,boundary_shift_or_partial
sample_6_yes_q01,0.9178082191780855,0.958737864077666,0.04092964489958051,0.9178082191780855,1,strong
sample_6_yes_q02,0.8770949720670388,0.9907692307692304,0.11367425870219161,0.8770949720670388,2,strong
sample_6_yes_q06,0.8363636363636379,0.77090909090909,-0.06545454545454787,0.8363636363636379,1,boundary_shift_or_partial
sample_10_yes_q01,0.5882352941176459,0.6249999999999988,0.03676470588235292,0.5882352941176459,3,too_wide
sample_10_yes_q02,0.0,0.544987146529564,0.544987146529564,0.49029126213592256,3,too_narrow
sample_10_yes_q03,0.7721518987341796,0.9166666666666683,0.14451476793248874,0.7721518987341796,3,strong
sample_17_yes_q03,0.22569444444444375,0.8045977011494235,0.5789032567049798,0.6770833333333313,2,boundary_shift_or_partial
sample_17_yes_q02,0.43169398907103734,0.46607669616519115,0.03438270709415381,0.7128712871287106,2,too_wide
sample_17_yes_q01,0.0,0.0,0.0,0.6349206349206347,3,nonoverlap_review_occurrence
sample_18_yes_q04,0.7424892703862668,0.8436018957345979,0.1011126253483311,0.7925531914893632,2,boundary_shift_or_partial
sample_18_yes_q02,0.716049382716049,0.8571428571428589,0.14109347442680986,0.8730158730158702,2,boundary_shift_or_partial
sample_18_yes_q01,0.7800000000000011,0.8937728937728916,0.11377289377289046,0.7800000000000011,2,boundary_shift_or_partial
sample_18_yes_q07,0.26394052044609634,0.2472324723247233,-0.016708048121373026,0.26394052044609634,1,too_narrow
sample_18_yes_q06,0.8810810810810835,0.9505813953488367,0.06950031426775316,0.9360465116279093,2,strong
sample_18_yes_q03,0.894472361809046,0.9169611307420497,0.022488768933003667,0.894472361809046,2,strong
sample_18_yes_q05,0.8744769874476985,0.9724770642201841,0.09800007677248557,0.8744769874476985,2,strong
sample_19_yes_q04,0.4396135265700487,0.47519582245430836,0.03558229588425965,0.641791044776119,2,too_wide
sample_19_yes_q01,0.9352941176470593,0.8596491228070164,-0.07564499484004283,0.9352941176470593,2,boundary_shift_or_partial
sample_19_yes_q02,0.9352941176470593,0.8596491228070164,-0.07564499484004283,0.9352941176470593,1,boundary_shift_or_partial
sample_19_yes_q03,0.9352941176470593,0.8596491228070164,-0.07564499484004283,0.9352941176470593,1,boundary_shift_or_partial
sample_20_yes_q01,0.7164750957854426,0.815286624203821,0.09881152841837848,0.7164750957854426,2,boundary_shift_or_partial
sample_20_yes_q05,0.0,0.0,0.0,0.0,3,nonoverlap_review_occurrence
sample_20_yes_q02,0.4657534246575338,0.974545454545457,0.5087920298879233,0.8486842105263175,4,strong
sample_20_yes_q04,0.30303030303030265,0.8597285067873289,0.5566982037570263,0.7377049180327864,4,boundary_shift_or_partial
sample_20_yes_q03,0.4039215686274519,0.4392324093816638,0.035310840754211925,0.4039215686274519,2,too_wide
sample_23_yes_q03,0.6105769230769229,0.6614583333333331,0.05088141025641024,0.8145695364238403,2,too_wide
sample_23_yes_q05,0.6220930232558145,0.9134199134199122,0.29132689016409774,0.8046874999999974,2,strong
sample_23_yes_q02,0.0,0.0,0.0,0.0,1,nonoverlap_review_occurrence
sample_23_yes_q04,0.0,0.0,0.0,0.0,1,nonoverlap_review_occurrence
sample_23_yes_q06,0.8016528925619849,0.9272727272727287,0.12561983471074378,0.8016528925619849,2,strong
sample_23_yes_q01,0.8273809523809529,0.9473684210526305,0.11998746867167764,0.8273809523809529,2,strong
sample_33_yes_q06,0.652173913043478,0.7011494252873562,0.048975512243878194,0.652173913043478,2,boundary_shift_or_partial
sample_33_yes_q02,0.4059829059829065,0.44419642857142816,0.038213522588521676,0.48314606741573,3,too_narrow
sample_33_yes_q04,0.7746478873239437,0.8880308880308858,0.11338300070694207,0.7746478873239437,1,boundary_shift_or_partial
sample_33_yes_q03,0.0,0.0,0.0,0.0,2,nonoverlap_review_occurrence
sample_33_yes_q05,0.23429951690821246,0.2540473225404733,0.019747805632260834,0.2963917525773202,3,too_narrow
sample_33_yes_q01,0.7439999999999998,0.8508771929824547,0.1068771929824549,0.7439999999999998,2,boundary_shift_or_partial
sample_37_yes_q05,0.8780487804878053,0.9610389610389618,0.08299018055115648,0.8780487804878053,2,strong
sample_37_yes_q03,0.789915966386556,0.8858447488584473,0.0959287824718913,0.789915966386556,3,boundary_shift_or_partial
sample_37_yes_q04,0.0,0.0,0.0,0.2388663967611342,3,nonoverlap_review_occurrence
sample_37_yes_q06,0.41258741258741155,0.4942084942084913,0.08162108162107973,0.41258741258741155,2,too_wide
sample_37_yes_q01,0.0,0.0,0.0,0.0,2,nonoverlap_review_occurrence
sample_37_yes_q02,0.1660231660231673,0.11174242424242502,-0.054280741780742284,0.1660231660231673,1,boundary_shift_or_partial
sample_39_yes_q02,0.7763157894736824,0.9275362318840571,0.1512204424103747,0.7763157894736824,2,strong
sample_39_yes_q04,0.6293706293706285,0.5894736842105267,-0.03989694516010178,0.6293706293706285,1,too_narrow
sample_39_yes_q03,0.5714285714285698,0.5695187165775397,-0.0019098548510301239,0.5714285714285698,3,too_wide
sample_39_yes_q01,0.6520618556701036,0.9347014925373132,0.2826396368672096,0.8784722222222229,2,strong
sample_42_yes_q02,0.8210526315789491,0.9333333333333362,0.11228070175438709,0.8210526315789491,1,strong
sample_42_yes_q07,0.7470588235294118,0.8516129032258105,0.10455407969639874,0.7470588235294118,1,boundary_shift_or_partial
sample_42_yes_q06,0.7688172043010754,0.8731563421828888,0.10433913788181348,0.7688172043010754,1,boundary_shift_or_partial
sample_42_yes_q05,0.8,0.8409090909090873,0.04090909090908723,0.8,2,boundary_shift_or_partial
sample_42_yes_q03,0.5722891566265089,0.6148867313915898,0.04259757476508086,0.5722891566265089,1,too_wide
sample_42_yes_q01,0.46031746031746046,0.5526315789473688,0.09231411862990835,0.7733333333333334,2,too_wide
sample_42_yes_q04,0.8062015503875969,0.9316239316239315,0.12542238123633465,0.8062015503875969,1,strong
sample_43_yes_q02,0.7558139534883717,0.8974358974358968,0.14162194394752514,0.7558139534883717,1,boundary_shift_or_partial
sample_43_yes_q05,0.7905405405405402,0.9104477611940304,0.11990722065349013,0.7905405405405402,2,strong
sample_43_yes_q04,0.18848167539267077,0.18994413407821212,0.0014624586855413457,0.5849056603773581,2,too_wide
sample_43_yes_q01,0.7687074829931972,0.880597014925373,0.11188953193217577,0.7687074829931972,1,boundary_shift_or_partial
sample_43_yes_q03,0.7969639468690713,0.9033613445378164,0.10639739766874501,0.7969639468690713,1,strong
sample_47_yes_q03,0.2406015037593986,0.260981912144702,0.020380408385303417,0.2406015037593986,2,too_narrow
sample_47_yes_q01,0.9113924050632919,0.9563758389261748,0.04498343386288295,0.9113924050632919,2,strong
sample_47_yes_q02,0.8852459016393442,0.9674556213017753,0.08220971966243107,0.8852459016393442,2,strong
sample_48_yes_q03,0.17379679144384988,0.1697860962566849,-0.0040106951871649865,0.955958549222798,2,too_narrow
